Book_Name,chapter,verse,sanskrit,translation,question,Commentary,English Verse,Chapter Name
Patanjali Yoga Sutras,1,1,अथ योगानुशासनम्,"Now, the teachings of yoga are presented since the student is ready to received these teachings.",When does Yoga commence? When should I start doing Yoga?,"In Hindu scripture, the earliest usage of the term “yoga” as applied to spiritual endeavor has the meaning of  “the control of the mind and senses.” That is the sense in which the term “yoga” is used in Patanjali’s Yoga Sutras",atha yogānuśāsanam,Samādhi pāda
Patanjali Yoga Sutras,1,2,योगश्चित्तवृत्तिनिरोधः,The purpose of yoga is to quieten the fluctuations of the chitta (mind).,What is the purpose of Yoga?,"Our minds are generally busy in one type of mental activity or another. We are remembering events from the past, thinking about current tasks or theorizing about possible future events. The practices of yoga are designed to enable us to eliminate these mental activities all together.",yogaścittavṛttinirodhaḥ,Samādhi pāda
Patanjali Yoga Sutras,1,3,तदा द्रष्टुः स्वरूपेऽवस्थानम्,"Once the state of Yoga is achieved, pure consciousness resides in its intrinsic nature.",What is the end result of Yoga practice?,"When mental activity is restrained, the soul’s faculty that witnesses thoughts, naturally turns in on itself. And it remains temporarily aware only of itself until thoughts again arise.",tadā draṣṭuḥ svarūpe ‘vasthānam,Samādhi pāda
Patanjali Yoga Sutras,1,4,वृत्तिसारूप्यमितरत्र,"Till the state of Yoga is achieved, consciousness identifies itself with the mental patterns.",What is the usual state of our awareness? How does the mind behave when it is not controlled?,It is the nature of the witness consciousness of the soul that it not only observes mental activities but also identifies with those activities. A simple example is the idea of experiencing happiness. We say “I am happy.” Awareness has taken on the form of happiness.,vṛtti sārūpyamitaratra,Samādhi pāda
Patanjali Yoga Sutras,1,5,वृत्तयः पञ्चतय्यः क्लिष्टाक्लिष्टाः,"These mental patterns can be classified into five types, which include both harmful and harmless ones.",What are the different types of thoughts? How many types of mental modifications are there? Into how many categories can our thoughts be divided?,"The study of scripture, sattvic thoughts, are an example of thoughts that are conducive to the practice of yoga. Thoughts of attraction to a worldly object, a rajasic thought, are detrimental to the practice of yoga.",vrittayaḥ pañcatayaḥ kliṣṭākliṣṭāḥ,Samādhi pāda
Patanjali Yoga Sutras,1,6,प्रमाणविपर्य्यविकल्पनिद्रास्मृतयः,"These five types of mental patters are right perception, misperception, conceptualization, deep sleep, and memory.",What are the five types of mental modifications? What are the five kinds of thoughts in Yoga?,This five-fold division of mental activities provides a useful categorization system for analyzing and subsequently restricting one’s thoughts.,pramāṇa viparyaya vikalpa nidrā smṛtayaḥ,Samādhi pāda
Patanjali Yoga Sutras,1,7,प्रत्यक्षानुमानागमाः प्रमाणानि,"Right perception arises from direct observation, inference, or the words of others.",What constitutes right perception? What are the methods to acquire right perception? What is right perception?,"The first source of correct knowledge is that we can perceive something directly and correctly. For example, we see a building on fire. We’re perceiving the fire; that’s a correct perception. If it was a larger fire it could be at a distance and we could perceive the smoke. We could infer that there’s a fire. This is using inference to obtain correct knowledge. We could also meet someone we trust who tells us that there’s a fire over there. We’re getting knowledge based upon valid testimony which is the third source.",pratyakṣānumānāgamāḥ pramāṇāni,Samādhi pāda
Patanjali Yoga Sutras,1,8,विपर्ययो मिथ्याज्ञानमतद्रूपप्रतिष्ठम्,"False knowledge arises from misperception, which is not based on reality.",What is wrong knowledge? What is error?,"For example, in a dimly lit street we see an object and think it is a snake when it is actually a rope. The object exists, but we have misinterpreted its nature.",viparyayo mithyājñānamatadrūpapratiṣṭham,Samādhi pāda
Patanjali Yoga Sutras,1,9,शब्दज्ञानानुपाती वस्तुशून्यो विकल्पः,"Imagination is a product of language-based knowledge, rather than direct experience with the physical world.",Define Imagination? What is imagination? What is fantasy?,"Fantasy is one form of imagination. If you have ever visited Disneyland, it has a separate realm called Fantasyland featuring characters such as Mickey Mouse and Tinker Bell who are pure make believe. They are nonexistent.",śabdajñānānupātī vastuśūnyo vikalpaḥ,Samādhi pāda
Patanjali Yoga Sutras,1,10,अभावप्रत्ययालम्बना वृत्तिर्निद्रा,The pattern of deep sleep is rooted in the perception that everything ceases to exist.,Define the state of mind in sleep? What is sleep state? Is sleep a mental modification?,"The Sutra is, of course, referring to deep sleep or dreamless sleep and what is experienced in it.",abhāvapratyayālambanā tamovrittirnidrā,Samādhi pāda
Patanjali Yoga Sutras,1,11,अनुभूतविषयासंप्रमोषः स्मृतिः, 'Remembering' refers to the act of retaining past experiences in memory.,Define memory? What is memory?,"As many mental activities, vrittis, are of the nature of memory, this is an important category to learn to identify and restrain.",anubhūtaviṣayāsaṃpramoṣaḥ smṛtiḥ,Samādhi pāda
